Symbol,FDR,AUC.ctrl
Rpl10-ps3, 0.00e+00,0.840
Gm10269, 0.00e+00,0.822
Wdr89, 0.00e+00,0.804
Gm9843, 0.00e+00,0.795
Wfdc17, 0.00e+00,0.780
Hspa8, 0.00e+00,0.777
Gm8730, 0.00e+00,0.771
Gm2000, 0.00e+00,0.769
Ifitm1,1.39e-304,0.752
Rpl27-ps3,1.06e-284,0.744
Rpl7a-ps5,3.39e-251,0.730
Rps18-ps3,4.57e-239,0.724
Rpl23a-ps3,1.88e-217,0.713
Gm9493,1.87e-215,0.712
Rps27rt,5.98e-189,0.699
Gm11808,8.44e-185,0.697
Rpl9-ps6,8.28e-167,0.687
Rps12-ps3,4.48e-155,0.680
Cd53,5.92e-151,0.678
Rps9,2.97e-145,0.675
Plac8,3.76e-142,0.673
Gm15013,8.75e-138,0.670
Prtn3,1.16e-137,0.670
