Symbol,FDR,AUC.ctrl
Rbm3,3.65e-138,0.801
Mt1,6.84e-135,0.789
Ctla2a,2.81e-107,0.765
Hspa8, 1.78e-83,0.734
Dnaja1, 2.01e-80,0.730
Ifitm1, 1.02e-73,0.720
Dynll1, 3.13e-48,0.679
Zfp36l2, 1.75e-45,0.674
Junb, 2.01e-45,0.668
Ifitm3, 5.01e-43,0.669
