Symbol,FDR,AUC.ctrl
Ube2d3,8.93e-163,0.742
Ube2n,6.78e-162,0.741
Mrps12,7.92e-162,0.741
Taf10,9.82e-162,0.741
Zfp593,6.72e-160,0.739
Vdac1,1.18e-159,0.739
Dpy30,1.52e-159,0.739
Prdx1,1.09e-158,0.738
Tcp1,2.44e-158,0.738
Pfdn6,2.00e-157,0.738
Mybbp1a,2.16e-157,0.737
Rrp1b,2.85e-157,0.737
Txnl4a,8.72e-157,0.737
Txnl1,1.08e-156,0.737
Naa50,4.41e-156,0.736
Slc25a5,4.63e-156,0.736
Dcun1d5,8.88e-156,0.736
Eif4g2,2.88e-155,0.736
Rrs1,6.86e-155,0.736
Mydgf,1.21e-154,0.735
Eif3a,3.60e-154,0.735
Mcrip2,5.41e-154,0.734
Noc4l,6.05e-154,0.734
Baz1a,8.27e-154,0.735
Eif1,8.73e-154,0.735
Guk1,2.66e-153,0.734
Mrpl52,1.98e-152,0.734
Nap1l1,4.83e-152,0.733
Rps27l,5.11e-152,0.733
Ruvbl2,7.07e-152,0.733
Nars,1.05e-151,0.733
Rwdd1,1.08e-151,0.733
Gapdh,4.26e-151,0.733
Eif1a,4.87e-151,0.733
Psmd12,5.96e-151,0.733
Psmb2,3.67e-150,0.732
Cox5a,5.47e-150,0.732
Ccdc86,1.52e-149,0.731
Gcsh,1.74e-149,0.731
Mrps7,5.69e-149,0.731
Psmg3,2.15e-148,0.731
Ftsj3,2.82e-148,0.730
Mrps26,7.07e-148,0.730
Them6,1.01e-147,0.728
Mthfd2,1.74e-147,0.728
Eef1g,1.95e-147,0.730
Abce1,3.38e-147,0.730
Creld2,1.50e-146,0.728
Psmc5,3.16e-146,0.729
Fkbp4,4.44e-146,0.729
Fkbp11,5.48e-146,0.732
Higd1a,2.29e-145,0.728
Ak2,3.80e-145,0.728
Hint1,4.67e-145,0.728
Psph,1.54e-144,0.727
Pop5,5.49e-144,0.727
Utp18,1.04e-143,0.727
Tomm70a,2.05e-143,0.727
Ctla2a,6.76e-143,0.725
Bola3,9.30e-143,0.726
Fth1,2.00e-141,0.725
Psmg1,2.51e-141,0.725
Exosc7,3.40e-141,0.725
Pfdn4,5.40e-141,0.725
Ifrd2,2.56e-138,0.722
Prdx3,4.92e-138,0.722
Hnrnpu,2.34e-136,0.721
Lsm12,5.67e-136,0.721
Psmb3,5.77e-136,0.721
Lsm2,1.24e-135,0.720
Mrpl51,1.90e-135,0.720
Timm10,2.02e-135,0.720
Magohb,2.56e-135,0.720
Eif4a3,3.10e-135,0.720
Gtpbp4,1.40e-134,0.720
Slc3a2,2.09e-134,0.719
Ydjc,3.87e-134,0.719
Ssr2,7.16e-134,0.719
Nipsnap3b,8.08e-134,0.719
Chchd1,1.27e-133,0.719
Smn1,1.37e-133,0.719
Chordc1,1.50e-133,0.719
Socs3,4.27e-133,0.721
Syncrip,5.14e-133,0.718
Aen,5.38e-133,0.718
Mrps34,7.33e-133,0.718
Eprs,9.38e-133,0.718
Phf5a,1.55e-132,0.718
Exosc3,1.78e-132,0.718
Nop10,1.97e-132,0.718
Nedd8,2.20e-132,0.718
Tfdp1,2.51e-132,0.718
Edf1,3.74e-132,0.718
Ptger3,1.69e-131,0.720
Adrm1,2.28e-131,0.717
Tmem167,2.37e-131,0.717
Psmc2,7.79e-131,0.716
Uqcr10,3.12e-130,0.716
Gda,3.84e-130,0.719
Galk1,3.95e-130,0.716
Uqcrb,2.25e-129,0.715
Rangrf,4.67e-129,0.715
Pam16,7.58e-129,0.715
Atp2a2,1.63e-128,0.714
Stoml2,1.73e-128,0.714
Mrpl15,1.99e-128,0.714
Rrp9,2.08e-128,0.713
Noc2l,6.17e-128,0.714
Rbx1,8.73e-128,0.714
Suclg1,2.72e-127,0.713
Rrm2,3.13e-127,0.713
Exosc8,6.03e-127,0.713
Mrps16,1.44e-126,0.713
Dynll2,1.58e-125,0.712
Dnajc21,3.96e-125,0.711
Srp9,5.15e-125,0.712
Pkm,5.80e-125,0.711
Polr2e,7.75e-125,0.711
Sap18,1.22e-124,0.711
Wdr18,3.06e-124,0.711
Mrpl32,4.40e-124,0.711
Uqcr11,6.99e-124,0.711
Eif5,8.84e-123,0.710
Tpi1,1.32e-122,0.709
Heatr3,2.59e-122,0.707
Gnl3,3.39e-122,0.709
Nop56,4.34e-122,0.709
Ffar2,5.22e-122,0.712
Tmem14c,1.47e-121,0.709
Bop1,4.57e-121,0.707
Cox5b,5.77e-121,0.708
Rcc1,1.13e-120,0.708
Ndufa8,1.62e-120,0.708
Myd88,4.04e-120,0.710
Tex30,6.58e-119,0.706
Cct4,1.32e-118,0.706
Mrpl55,4.11e-118,0.705
Pgk1,9.59e-118,0.705
Lars,3.61e-117,0.705
Psma4,4.64e-117,0.705
Arl6ip4,1.36e-116,0.704
Uba2,2.15e-116,0.704
Farsb,4.37e-116,0.704
Emilin2,5.44e-116,0.706
Mrpl34,8.04e-116,0.704
Psma6,1.89e-115,0.703
Ruvbl1,3.45e-115,0.703
Polr2l,5.12e-115,0.702
Atad3a,7.61e-115,0.703
Stip1,1.60e-114,0.702
Brix1,2.20e-114,0.702
Larp4,2.35e-114,0.702
Gadd45gip1,2.98e-114,0.702
Cct2,6.32e-114,0.702
Gfer,8.18e-114,0.702
Tbcb,1.97e-113,0.701
Tma16,1.54e-112,0.700
Psmc4,2.81e-112,0.700
Gart,3.81e-112,0.700
Eif2b3,4.28e-112,0.698
Sdhd,1.02e-111,0.700
Orc6,2.57e-111,0.700
Tmem97,1.04e-110,0.699
Ube2l3,2.32e-110,0.699
Jagn1,3.56e-110,0.698
Srsf6,3.58e-110,0.699
Wfdc17,6.73e-110,0.701
