Symbol,FDR,AUC.ctrl
Exosc5, 0.00e+00,0.757
Strap, 0.00e+00,0.757
Snrpd2, 0.00e+00,0.756
Fabp5, 0.00e+00,0.756
Vdac2, 0.00e+00,0.755
Uqcc2, 0.00e+00,0.755
Eif3g, 0.00e+00,0.754
Bax, 0.00e+00,0.754
Ostc, 0.00e+00,0.754
Dnajc2, 0.00e+00,0.753
Lsm6, 0.00e+00,0.753
Idh3a, 0.00e+00,0.753
Sub1, 0.00e+00,0.753
Pgk1, 0.00e+00,0.752
Pno1, 0.00e+00,0.753
Psmd13, 0.00e+00,0.752
Pdia3, 0.00e+00,0.752
Atp5d, 0.00e+00,0.751
Eef1e1, 0.00e+00,0.751
Erh, 0.00e+00,0.750
Rrs1, 0.00e+00,0.751
Hsp90ab1, 0.00e+00,0.750
Sumo2, 0.00e+00,0.750
Emg1, 0.00e+00,0.750
Abracl, 0.00e+00,0.749
Rwdd1, 0.00e+00,0.749
Actg1, 0.00e+00,0.748
Pcbp1, 0.00e+00,0.748
Atp5h, 0.00e+00,0.748
Cox6b1, 0.00e+00,0.748
Ndufb10, 0.00e+00,0.748
Wdr18, 0.00e+00,0.748
Eif3i, 0.00e+00,0.747
Nop56, 0.00e+00,0.747
Slc25a3, 0.00e+00,0.747
Naa50, 0.00e+00,0.747
Plac8, 0.00e+00,0.746
Ssr2, 0.00e+00,0.746
Mrpl16, 0.00e+00,0.745
Atpif1, 0.00e+00,0.745
Rps6, 0.00e+00,0.745
Mrpl18, 0.00e+00,0.744
Cdk4, 0.00e+00,0.744
Nap1l1, 0.00e+00,0.744
Cebpb, 0.00e+00,0.744
Emc6, 0.00e+00,0.744
Nop58,4.94e-324,0.744
Pfdn2,1.78e-322,0.743
Etf1,1.88e-322,0.743
Psma4,2.72e-322,0.743
Rpl8,3.05e-321,0.743
Fam162a,2.46e-320,0.743
Mrpl17,3.50e-320,0.742
Ahsa1,9.40e-320,0.742
Minos1,2.80e-319,0.742
Nasp,3.63e-319,0.742
Odc1,3.35e-318,0.742
Ydjc,4.75e-318,0.742
Uqcr11,1.40e-317,0.741
Glrx5,1.42e-317,0.741
Gart,5.06e-317,0.741
Atp5j,2.22e-316,0.741
Hsp90b1,7.30e-314,0.740
Galk1,1.31e-313,0.740
Cst7,2.18e-312,0.740
Grpel1,2.24e-312,0.739
Polr2e,2.08e-311,0.739
Bzw1,1.42e-310,0.738
Psmb8,5.88e-310,0.738
Uchl3,1.13e-309,0.739
Timm9,3.36e-309,0.738
Cct5,3.69e-309,0.738
Ndufaf4,4.11e-309,0.738
Timm10,3.86e-308,0.738
Ndufb8,4.06e-308,0.738
Eif3a,1.39e-307,0.737
Smdt1,1.00e-305,0.737
Eif4e,1.40e-305,0.737
Cd48,3.71e-305,0.736
Glrx3,4.56e-305,0.736
Tomm22,5.92e-305,0.736
Ube2m,7.47e-304,0.736
Ssb,2.67e-303,0.736
Gnl3,4.70e-303,0.736
Tmem160,8.95e-303,0.735
Syncrip,4.09e-302,0.735
Tmed9,6.85e-302,0.735
Siva1,2.23e-301,0.735
Eif1ax,3.94e-301,0.735
Suclg1,5.25e-301,0.735
Mt1,4.54e-300,0.735
Lsm12,8.67e-300,0.735
Tmem97,2.05e-299,0.735
Agpat5,3.44e-299,0.735
Rrp15,5.95e-299,0.734
Nifk,1.24e-298,0.734
Nt5c,1.51e-298,0.734
Ube2n,1.67e-298,0.734
Ppid,2.71e-298,0.734
Rrp1b,6.99e-298,0.734
Npm3,2.60e-297,0.733
Psma5,1.58e-296,0.733
Eif1ad,4.29e-296,0.733
Ak2,4.79e-296,0.733
Snrpe,1.61e-295,0.733
Tfdp1,4.72e-295,0.733
Cct7,6.68e-295,0.732
Atp5a1,1.98e-294,0.732
Abce1,1.06e-291,0.732
Lsm2,8.93e-290,0.730
Ndufv2,1.02e-289,0.730
Ndufb7,1.16e-289,0.730
Hras,3.27e-289,0.731
Swi5,1.18e-288,0.730
Cdv3,8.25e-288,0.729
2410015M20Rik,1.64e-287,0.729
Exosc8,7.89e-287,0.730
Ndufa11,1.00e-284,0.728
