Symbol,FDR,AUC.ctrl
Rpl9-ps6,4.41e-308,0.0975
Malat1,2.43e-274,0.1193
Rpl21,2.16e-221,0.1581
Gm19590,3.18e-215,0.1522
Rps27,4.34e-187,0.1858
Gm10073,1.14e-183,0.1890
Rps21,7.50e-175,0.1964
Pdzk1ip1,3.91e-165,0.2064
mt-Co1,1.52e-160,0.2091
Hlf,4.37e-156,0.2135
Angpt1,2.91e-148,0.2206
Rsrp1,2.21e-137,0.2310
Rpl10-ps3,4.23e-137,0.2321
mt-Co3,1.07e-126,0.2417
Lst1,6.27e-122,0.2485
Ltb,2.99e-119,0.2558
Rpl37a,1.15e-117,0.2511
Gimap6,6.23e-115,0.2567
Rps27rt,5.47e-114,0.2551
Lmo2,8.62e-113,0.2564
Ftl1,1.17e-111,0.2576
Itm2b,3.38e-109,0.2603
H2-K1,8.35e-108,0.2619
Adgrg1,3.48e-107,0.2625
Zbtb20,9.31e-107,0.2649
Rps12-ps3,2.40e-105,0.2571
B2m,1.55e-104,0.2655
Pnrc1,1.72e-104,0.2656
Gstm1,7.18e-104,0.2723
Gm10036,7.19e-104,0.2588
H2-Q6,7.96e-104,0.2675
H2-D1,1.72e-101,0.2690
Rpl38,2.99e-100,0.2704
Aldh2, 2.02e-99,0.2713
H2-Q4, 3.85e-99,0.2721
Eef1a1, 6.92e-99,0.2720
Apoe, 2.45e-98,0.2727
mt-Atp6, 2.58e-93,0.2785
Rps5, 9.84e-93,0.2792
Gm11808, 3.54e-91,0.2811
Rps24, 7.74e-89,0.2839
Rpl9, 2.03e-88,0.2844
H2-Q7, 8.89e-88,0.2852
Rps14, 2.60e-87,0.2858
Smpdl3a, 8.51e-87,0.2905
Rps7, 1.11e-86,0.2865
Kit, 1.04e-84,0.2895
Mllt3, 4.66e-82,0.2946
Fam107b, 6.96e-82,0.2936
Msi2, 8.18e-82,0.2927
Lyz2, 1.48e-80,0.2943
Rplp1, 4.58e-80,0.2949
Gm42418, 1.46e-79,0.2959
Hacd4, 1.01e-77,0.3010
Gimap1, 1.97e-77,0.2984
Rps28, 9.66e-77,0.2992
Rps4x, 1.82e-76,0.2996
AW112010, 8.95e-76,0.3011
Uba7, 7.20e-75,0.3033
Nedd4, 1.28e-72,0.3048
Rpl37, 9.36e-71,0.3073
Rps3a1, 2.08e-70,0.3077
Rpl18a, 4.11e-70,0.3082
Eef2, 2.86e-69,0.3093
Eif4a2, 7.62e-67,0.3128
Pfdn5, 1.86e-66,0.3133
Tsc22d3, 3.59e-66,0.3140
Rpl23, 4.00e-66,0.3137
Mettl7a1, 8.79e-66,0.3083
Rpl10, 7.31e-63,0.3184
Gm9493, 8.80e-63,0.3199
mt-Co2, 1.39e-62,0.3188
Fau, 2.52e-62,0.3192
Limd2, 1.09e-61,0.3205
Ccnd2, 1.66e-60,0.3221
Ypel3, 5.91e-60,0.3235
H2-T23, 1.43e-58,0.3248
Foxp1, 1.70e-58,0.3251
Arhgap45, 6.78e-58,0.3269
Shisa5, 1.20e-57,0.3270
Rps12, 3.16e-57,0.3268
Txnip, 5.88e-57,0.3272
Car2, 7.13e-57,0.3273
Selenop, 3.17e-56,0.3310
Rpl6, 1.65e-55,0.3294
Mmrn1, 2.68e-55,0.3243
Cirbp, 7.20e-55,0.3305
Aplp2, 9.99e-55,0.3252
Itsn1, 2.49e-51,0.3308
